item,name,description,type,category,subcategory,text,predicted_label_id,predicted_label
http://www.wikidata.org/entity/Q2427430,Northeast Flag Replacement,"Zhang Xueliang's announcement on 29 December 1928 on replacing all banners of the Beiyang government in Manchuria with the flag of the Nationalist government, thus nominally uniting China under one state",concept,History,historical event,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] History | [TYPE] concept | [SUBCATEGORY] historical event | [NAME] Northeast Flag Replacement | [DESC] Zhang Xueliang's announcement on 29 December 1928 on replacing all banners of the Beiyang government in Manchuria with the flag of the Nationalist government, thus nominally uniting China under one state | [WIKI] ",2,cultural exclusive
http://www.wikidata.org/entity/Q1695743,post in ground,"type of construction in which vertical, roof-bearing timbers, called posts, are in direct contact with the ground. They may be placed into excavated post holes, driven into the ground, or on sills which are set on the ground without a foundation",concept,architecture,building,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] architecture | [TYPE] concept | [SUBCATEGORY] building | [NAME] post in ground | [DESC] type of construction in which vertical, roof-bearing timbers, called posts, are in direct contact with the ground. They may be placed into excavated post holes, driven into the ground, or on sills which are set on the ground without a foundation | [WIKI] ",0,cultural agnostic
http://www.wikidata.org/entity/Q5188176,cross-gender acting,actors portraying characters of the opposite sex,concept,Films,acting style,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Films | [TYPE] concept | [SUBCATEGORY] acting style | [NAME] cross-gender acting | [DESC] actors portraying characters of the opposite sex | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q154168,toast,ritual in which a drink is taken,concept,Gestures and habits,ritual,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Gestures and habits | [TYPE] concept | [SUBCATEGORY] ritual | [NAME] toast | [DESC] ritual in which a drink is taken | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q13473,beIN SPORTS,global Qatari network of sports channels,named entity,media,media company,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] media | [TYPE] named entity | [SUBCATEGORY] media company | [NAME] beIN SPORTS | [DESC] global Qatari network of sports channels | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q2088191,philosopher king,"king who rules through love and knowledge, as described by Plato",concept,philosophy and religion,philosopher,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] philosophy and religion | [TYPE] concept | [SUBCATEGORY] philosopher | [NAME] philosopher king | [DESC] king who rules through love and knowledge, as described by Plato | [WIKI] ",1,cultural representative
http://www.wikidata.org/entity/Q15003,escalator,moving staircase,concept,transportation,mode of transport,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] transportation | [TYPE] concept | [SUBCATEGORY] mode of transport | [NAME] escalator | [DESC] moving staircase | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q510548,Tour Méditerranéen,recurring sporting event,named entity,sports,recurring sporting event,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] sports | [TYPE] named entity | [SUBCATEGORY] recurring sporting event | [NAME] Tour Méditerranéen | [DESC] recurring sporting event | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q672556,Boxer Protocol,"Diplomatic protocol, final agreement between China and eleven countries on compensation for the 1900 riots",named entity,Books,book,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Books | [TYPE] named entity | [SUBCATEGORY] book | [NAME] Boxer Protocol | [DESC] Diplomatic protocol, final agreement between China and eleven countries on compensation for the 1900 riots | [WIKI] ",2,cultural exclusive
http://www.wikidata.org/entity/Q738377,student newspaper,newspaper or periodical run by students,named entity,media,magazine,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] media | [TYPE] named entity | [SUBCATEGORY] magazine | [NAME] student newspaper | [DESC] newspaper or periodical run by students | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q170980,obelisk,"tall, four-sided, narrow tapering monument which ends in a pyramid-like shape at the top",concept,History,monument,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] History | [TYPE] concept | [SUBCATEGORY] monument | [NAME] obelisk | [DESC] tall, four-sided, narrow tapering monument which ends in a pyramid-like shape at the top | [WIKI] ",0,cultural agnostic
http://www.wikidata.org/entity/Q242791,Kyokushin kaikan,full contact karate organization founded by Masutatsu Ōyama,named entity,sports,sports team,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] sports | [TYPE] named entity | [SUBCATEGORY] sports team | [NAME] Kyokushin kaikan | [DESC] full contact karate organization founded by Masutatsu Ōyama | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q159488,anti-tobacco movement in Nazi Germany,overview about the anti-tobacco movement in Nazi Germany,concept,politics,policy,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] politics | [TYPE] concept | [SUBCATEGORY] policy | [NAME] anti-tobacco movement in Nazi Germany | [DESC] overview about the anti-tobacco movement in Nazi Germany | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q5409,Peire Rogier,French troubadour,named entity,Literature,poet,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Literature | [TYPE] named entity | [SUBCATEGORY] poet | [NAME] Peire Rogier | [DESC] French troubadour | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q748822,private press,publishing and printing operation operated as an artistic or craft-based endeavor,concept,Literature,publisher,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Literature | [TYPE] concept | [SUBCATEGORY] publisher | [NAME] private press | [DESC] publishing and printing operation operated as an artistic or craft-based endeavor | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q578798,Council of Government of the Region of Murcia,executive branch of regional government in Spain,named entity,politics,government,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] politics | [TYPE] named entity | [SUBCATEGORY] government | [NAME] Council of Government of the Region of Murcia | [DESC] executive branch of regional government in Spain | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q1145,Jean-Philippe Rameau,French composer and music theorist (1683–1764),named entity,Performing arts,choreographer,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Performing arts | [TYPE] named entity | [SUBCATEGORY] choreographer | [NAME] Jean-Philippe Rameau | [DESC] French composer and music theorist (1683–1764) | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q169990,Eleventh Amendment to the United States Constitution,1795 amendment restricting ability to sue states in federal courts,named entity,politics,law,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] politics | [TYPE] named entity | [SUBCATEGORY] law | [NAME] Eleventh Amendment to the United States Constitution | [DESC] 1795 amendment restricting ability to sue states in federal courts | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q6406716,Castillo Douglas,"house in Aguascalientes, Mexico",named entity,architecture,construction,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] architecture | [TYPE] named entity | [SUBCATEGORY] construction | [NAME] Castillo Douglas | [DESC] house in Aguascalientes, Mexico | [WIKI] ",2,cultural exclusive
http://www.wikidata.org/entity/Q1323191,costume designer,"person who designs costumes for a film, stage production, or television show",concept,Fashion,designer,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Fashion | [TYPE] concept | [SUBCATEGORY] designer | [NAME] costume designer | [DESC] person who designs costumes for a film, stage production, or television show | [WIKI] ",0,cultural agnostic
http://www.wikidata.org/entity/Q66844,Lamboing,"village and former municipality in Plateau de Diesse in the canton of Bern, Switzerland",named entity,Geography,neighborhood,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Geography | [TYPE] named entity | [SUBCATEGORY] neighborhood | [NAME] Lamboing | [DESC] village and former municipality in Plateau de Diesse in the canton of Bern, Switzerland | [WIKI] ",2,cultural exclusive
http://www.wikidata.org/entity/Q365065,bitter lemon,British soft drink,concept,food,drink,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] food | [TYPE] concept | [SUBCATEGORY] drink | [NAME] bitter lemon | [DESC] British soft drink | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q546206,Miami bass,"subgenre of hip-hop from South Florida in the 1980s and 1990s, characterized by the Roland TR-808 sustained kick drum, raised dance tempos, and sexually explicit lyrics",concept,Music,music genre,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Music | [TYPE] concept | [SUBCATEGORY] music genre | [NAME] Miami bass | [DESC] subgenre of hip-hop from South Florida in the 1980s and 1990s, characterized by the Roland TR-808 sustained kick drum, raised dance tempos, and sexually explicit lyrics | [WIKI] ",1,cultural representative
http://www.wikidata.org/entity/Q82288,Psychrolutes marcidus,Australian deep-sea fish with gelatinous flesh,concept,Biology,fish,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Biology | [TYPE] concept | [SUBCATEGORY] fish | [NAME] Psychrolutes marcidus | [DESC] Australian deep-sea fish with gelatinous flesh | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q488205,singer-songwriter,"musician who writes, composes and sings own songs",concept,Music,musical profession,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Music | [TYPE] concept | [SUBCATEGORY] musical profession | [NAME] singer-songwriter | [DESC] musician who writes, composes and sings own songs | [WIKI] ",0,cultural agnostic
http://www.wikidata.org/entity/Q487734,Croatian folk costume,traditional dress of the various regions of Croatia,concept,Fashion,traditional costume,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Fashion | [TYPE] concept | [SUBCATEGORY] traditional costume | [NAME] Croatian folk costume | [DESC] traditional dress of the various regions of Croatia | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q253241,Su Nuraxi di Barumini,nuraghe,named entity,History,museum,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] History | [TYPE] named entity | [SUBCATEGORY] museum | [NAME] Su Nuraxi di Barumini | [DESC] nuraghe | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q217392,Open Season 2,2009 animated feature film directed by Matthew O'Callaghan,named entity,Comics and Anime,animated film,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Comics and Anime | [TYPE] named entity | [SUBCATEGORY] animated film | [NAME] Open Season 2 | [DESC] 2009 animated feature film directed by Matthew O'Callaghan | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q1776053,city comedy,genre of comedy in English early modern theatre,concept,Performing arts,theatrical genre,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Performing arts | [TYPE] concept | [SUBCATEGORY] theatrical genre | [NAME] city comedy | [DESC] genre of comedy in English early modern theatre | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q3154160,Julia Vysotskaya,Russian actress and television presenter,named entity,food,cook,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] food | [TYPE] named entity | [SUBCATEGORY] cook | [NAME] Julia Vysotskaya | [DESC] Russian actress and television presenter | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q53044,Elio Petri,Italian filmmaker (1929–1982),named entity,Films,film director,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Films | [TYPE] named entity | [SUBCATEGORY] film director | [NAME] Elio Petri | [DESC] Italian filmmaker (1929–1982) | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q852061,champion,"victor in a challenge, contest or competition",named entity,sports,athlete,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] sports | [TYPE] named entity | [SUBCATEGORY] athlete | [NAME] champion | [DESC] victor in a challenge, contest or competition | [WIKI] ",0,cultural agnostic
http://www.wikidata.org/entity/Q201565,nori,edible seaweed species of the red algae genus Pyropia,concept,food,ingredient,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] food | [TYPE] concept | [SUBCATEGORY] ingredient | [NAME] nori | [DESC] edible seaweed species of the red algae genus Pyropia | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q264972,740 Park Avenue,residential building in New York City,named entity,architecture,architectural structure,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] architecture | [TYPE] named entity | [SUBCATEGORY] architectural structure | [NAME] 740 Park Avenue | [DESC] residential building in New York City | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q5219853,Danish philosophy,part of Western philosophy,concept,philosophy and religion,philosophy,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] philosophy and religion | [TYPE] concept | [SUBCATEGORY] philosophy | [NAME] Danish philosophy | [DESC] part of Western philosophy | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q242095,Dino Buzzati,Italian writer (1906-1972),named entity,Comics and Anime,comics artist,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Comics and Anime | [TYPE] named entity | [SUBCATEGORY] comics artist | [NAME] Dino Buzzati | [DESC] Italian writer (1906-1972) | [WIKI] ,2,cultural exclusive
